Deal ID,Company ID,Primary Industry Sector,Primary Industry Group,Primary Industry Code,All Industries,Verticals,Keywords,Current Financing Status,Current Business Status,Universe,CEO PBId,CEO Education,Deal No.,Deal ID,Announced Date,Deal Date,Deal Size,Deal Size Status,Pre-money Valuation,Post Valuation,Post Valuation Status,% Acquired,Raised to Date,VC Round,VC Round Up/Down/Flat,Price per Share,Series,Deal Type,Deal Type 2,Deal Type 3,Deal Class,Total Invested Equity,Debt Type,Debt Type 2,Debt Type 3,Debt Amount 1,Debt Amount 2,Debt Amount 3,Debt Raised in Round,Contingent Payout,Deal Status,Business Status,Financing Status,Employees,# Investors,# New Investors,# Follow-on Investors,Implied EV,Revenue,Revenue Growth since last debt deal,Gross Profit,Net Income,EBITDA,EBIT,Total Debt (from financials),Fiscal Year,Valuation/EBITDA,Valuation/EBIT,Valuation/Net Income,Valuation/Revenue,Valuation/Cash Flow,Deal Size/EBITDA,Deal Size/EBIT,Deal Size/Net Income,Deal Size/Revenue,Deal Size/Cash Flow,Debt/EBITDA,Debt/Equity,Implied EV/EBITDA,Implied EV/EBIT,Implied EV/Net Income,Implied EV/Revenue,Implied EV/Cash Flow,EBITDA Margin %,Current Employees,Native Currency of Deal,HQ Location,HQ Global Region,HQ Global Sub Region,Company City,Company State/Province,Company Post Code,Company Country,Year Founded
132567-67T,179367-85,Information Technology,Software,Software Development Applications,"Business/Productivity Software, Media and Information Services (B2B), Software Development Applications*","Artificial Intelligence & Machine Learning, CloudTech & DevOps, Cryptocurrency/Blockchain, SaaS","application developer network, application developer platform, application developer software, backend as a service, low coding, low coding development platform, market-facing application, software & system development",Venture Capital-Backed,Generating Revenue,Venture Capital,38786-77P,"Florida International University, MBA (Master of Business Administration), 1997",4,132567-67T,,02-Dec-2019,0.02,Actual,0.31,0.33,Actual,6.00%,2.89,,,,,Accelerator/Incubator,,,Other,0.02,,,,,,,,,Completed,Generating Revenue,Venture Capital-Backed,12,1,1,,,0.60,,,(1.15),(1.17),,,2019,-0.29x,,-0.29x,0.55x,,-0.02x,,-0.02x,0.03x,,,,,,,,,-193.85%,20,US Dollars (USD),"Miami, FL",Americas,North America,Miami,Florida,33134,United States,2017
108314-11T,179367-85,Information Technology,Software,Software Development Applications,"Business/Productivity Software, Media and Information Services (B2B), Software Development Applications*","Artificial Intelligence & Machine Learning, CloudTech & DevOps, Cryptocurrency/Blockchain, SaaS","application developer network, application developer platform, application developer software, backend as a service, low coding, low coding development platform, market-facing application, software & system development",Venture Capital-Backed,Generating Revenue,Venture Capital,38786-77P,"Florida International University, MBA (Master of Business Administration), 1997",3,108314-11T,,22-Nov-2019,0.71,Actual,,,,,2.87,1st Round,,,,Seed Round,Seed Round,,Venture Capital,0.71,,,,,,,,,Completed,Product Development,Venture Capital-Backed,12,5,5,,,0.60,,,(1.15),(1.17),,,2019,,,,,,-0.61x,,-0.62x,1.18x,,,,,,,,,-193.85%,20,US Dollars (USD),"Miami, FL",Americas,North America,Miami,Florida,33134,United States,2017
114489-28T,179367-85,Information Technology,Software,Software Development Applications,"Business/Productivity Software, Media and Information Services (B2B), Software Development Applications*","Artificial Intelligence & Machine Learning, CloudTech & DevOps, Cryptocurrency/Blockchain, SaaS","application developer network, application developer platform, application developer software, backend as a service, low coding, low coding development platform, market-facing application, software & system development",Venture Capital-Backed,Generating Revenue,Venture Capital,38786-77P,"Florida International University, MBA (Master of Business Administration), 1997",1,114489-28T,,31-Dec-2017,0.88,Actual,,,,,0.88,Angel,,,,Angel (individual),Angel (individual),,Individual,,Bridge,,,0.88,,,0.88,,Completed,Startup,Angel-Backed,8,,,,,,,,(0.30),(0.30),,,2017,,,,,,-2.90x,,-2.90x,,,-2.90x,,,,,,,,20,US Dollars (USD),"Miami, FL",Americas,North America,Miami,Florida,33134,United States,2017
116007-31T,179367-85,Information Technology,Software,Software Development Applications,"Business/Productivity Software, Media and Information Services (B2B), Software Development Applications*","Artificial Intelligence & Machine Learning, CloudTech & DevOps, Cryptocurrency/Blockchain, SaaS","application developer network, application developer platform, application developer software, backend as a service, low coding, low coding development platform, market-facing application, software & system development",Venture Capital-Backed,Generating Revenue,Venture Capital,38786-77P,"Florida International University, MBA (Master of Business Administration), 1997",2,116007-31T,15-Oct-2018,31-Oct-2019,1.28,Actual,,,,,2.16,Angel,,,,Angel (individual),Angel (individual),,Individual,1.28,,,,,,,,,Completed,Generating Revenue,Venture Capital-Backed,15,,,,,0.60,,,(1.15),(1.17),,,2019,,,,,,-1.10x,,-1.11x,2.13x,,,,,,,,,-193.85%,20,US Dollars (USD),"Miami, FL",Americas,North America,Miami,Florida,33134,United States,2017
155844-64T,438954-76,Information Technology,Software,Business/Productivity Software,"Automation/Workflow Software, Business/Productivity Software*","CloudTech & DevOps, Mobile","business software, enterprise software, mobile office, office automation, office software",Venture Capital-Backed,Generating Revenue,Venture Capital,240407-47P,,1,155844-64T,,01-Jan-2015,1.61,Actual,,,,,1.61,1st Round,,,,Later Stage VC,,,Venture Capital,1.61,,,,,,,,,Completed,Generating Revenue,Venture Capital-Backed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chinese Yuan RMB (CNY),"Shanghai, China",Asia,East Asia,Shanghai,,,China,2005
101067-85T,169268-68,Information Technology,Software,Software Development Applications,Software Development Applications*,"Augmented Reality, Big Data, CloudTech & DevOps, Mobile, TMT","3dof tracking, ar frameworks, augmented reality developer platform, camera calibration, camera tools, crosses platform ar technology",Venture Capital-Backed,Generating Revenue,"Debt Financed, Venture Capital",169772-32P,"Dartmouth College, BA (Bachelor of Arts), Engineering Physics; University of California, San Diego, Ph.D. (Doctor of Philosophy), Computer Vision",3,101067-85T,29-Nov-2017,06-Feb-2018,8.00,Actual,32.00,40.00,Actual,20.00%,11.40,3rd Round,,4.06,Series A,Early Stage VC,Series A,,Venture Capital,8.00,,,,,,,,,Completed,Generating Revenue,Venture Capital-Backed,9,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,US Dollars (USD),"Palo Alto, CA",Americas,North America,Palo Alto,California,94306,United States,2016
80388-28T,169268-68,Information Technology,Software,Software Development Applications,Software Development Applications*,"Augmented Reality, Big Data, CloudTech & DevOps, Mobile, TMT","3dof tracking, ar frameworks, augmented reality developer platform, camera calibration, camera tools, crosses platform ar technology",Venture Capital-Backed,Generating Revenue,"Debt Financed, Venture Capital",,,1,80388-28T,,23-Nov-2016,1.00,Actual,,,,,1.00,1st Round,,,,Seed Round,Seed Round,,Venture Capital,1.00,,,,,,,,,Completed,Startup,Venture Capital-Backed,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,US Dollars (USD),"Palo Alto, CA",Americas,North America,Palo Alto,California,94306,United States,2016
93459-25T,169268-68,Information Technology,Software,Software Development Applications,Software Development Applications*,"Augmented Reality, Big Data, CloudTech & DevOps, Mobile, TMT","3dof tracking, ar frameworks, augmented reality developer platform, camera calibration, camera tools, crosses platform ar technology",Venture Capital-Backed,Generating Revenue,"Debt Financed, Venture Capital",169772-32P,"Dartmouth College, BA (Bachelor of Arts), Engineering Physics; University of California, San Diego, Ph.D. (Doctor of Philosophy), Computer Vision",2,93459-25T,,28-Aug-2017,2.40,Actual,,,,,3.40,2nd Round,,,,Early Stage VC,,,Venture Capital,2.40,,,,,,,,,Completed,Startup,Venture Capital-Backed,7,7,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,US Dollars (USD),"Palo Alto, CA",Americas,North America,Palo Alto,California,94306,United States,2016
54542-80T,81697-15,Information Technology,Software,Business/Productivity Software,"Business/Productivity Software*, Media and Information Services (B2B), Software Development Applications","CloudTech & DevOps, TMT","cloudtech and devops, crowd testing, crowdsourced testing, crowdsourcing platform, functionality testing, test automation",Formerly Accelerator/Incubator backed,Out of Business,Venture Capital,99421-03P,"Degree, 2002; Indian Institute of Technology, B.Tech (Bachelor of Technology), 2008, Chemical Engineering",5,54542-80T,,30-Jul-2015,,,,,,,0.11,Angel,,,,Angel (individual),Angel (individual),,Individual,,,,,,,,,,Completed,Generating Revenue,Accelerator/Incubator Backed,22,1,1,,,1.00,,,,,,,2015,,,,,,,,,,,,,,,,,,,22,US Dollars (USD),"Bangalore, India",Asia,South Asia,Bangalore,,560076,India,
57732-31T,124318-09,Information Technology,IT Services,IT Consulting and Outsourcing,"Business/Productivity Software, Database Software, IT Consulting and Outsourcing*","Big Data, CloudTech & DevOps, SaaS, TMT","cloud computing, cloud computing service provider, openstack consulting, openstack deployment, private cloud",Venture Capital-Backed,Generating Revenue,Venture Capital,114382-36P,"San Jose State University, Degree; Santa Clara University, MBA (Master of Business Administration), 2000; University of California, Berkeley, BA (Bachelor of Arts), 1993, Computer Science",1,57732-31T,,16-Sep-2015,,,,,,,,1st Round,,,Series A,Early Stage VC,Series A,,Venture Capital,,,,,,,,,,Completed,Generating Revenue,Venture Capital-Backed,47,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,US Dollars (USD),"Huzhou, China",Asia,East Asia,Huzhou,Zhejiang,,China,2012
137377-27T,124318-09,Information Technology,IT Services,IT Consulting and Outsourcing,"Business/Productivity Software, Database Software, IT Consulting and Outsourcing*","Big Data, CloudTech & DevOps, SaaS, TMT","cloud computing, cloud computing service provider, openstack consulting, openstack deployment, private cloud",Venture Capital-Backed,Generating Revenue,Venture Capital,114382-36P,"San Jose State University, Degree; Santa Clara University, MBA (Master of Business Administration), 2000; University of California, Berkeley, BA (Bachelor of Arts), 1993, Computer Science",2,137377-27T,,01-Oct-2017,10.00,Actual,,,,,10.00,2nd Round,,,Series B,Later Stage VC,Series B,,Venture Capital,10.00,,,,,,,,,Completed,Generating Revenue,Venture Capital-Backed,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,US Dollars (USD),"Huzhou, China",Asia,East Asia,Huzhou,Zhejiang,,China,2012
137377-72T,124318-09,Information Technology,IT Services,IT Consulting and Outsourcing,"Business/Productivity Software, Database Software, IT Consulting and Outsourcing*","Big Data, CloudTech & DevOps, SaaS, TMT","cloud computing, cloud computing service provider, openstack consulting, openstack deployment, private cloud",Venture Capital-Backed,Generating Revenue,Venture Capital,114382-36P,"San Jose State University, Degree; Santa Clara University, MBA (Master of Business Administration), 2000; University of California, Berkeley, BA (Bachelor of Arts), 1993, Computer Science",3,137377-72T,,29-May-2020,,,,,,,10.00,3rd Round,,,,Later Stage VC,,,Venture Capital,,,,,,,,,,Completed,Generating Revenue,Venture Capital-Backed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,Chinese Yuan RMB (CNY),"Huzhou, China",Asia,East Asia,Huzhou,Zhejiang,,China,2012
135824-14T,434631-61,Information Technology,Software,Business/Productivity Software,Business/Productivity Software*,"CloudTech & DevOps, SaaS, TMT","enterprise management, enterprise services, industrial information technology, industrial platform, smart manufacturing",Venture Capital-Backed,Generating Revenue,Venture Capital,,,1,135824-14T,,02-Feb-2018,,,,,,,,1st Round,,,,Later Stage VC,,,Venture Capital,,,,,,,,,,Completed,Generating Revenue,Venture Capital-Backed,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chinese Yuan RMB (CNY),"Tianjin, China",Asia,East Asia,Tianjin,,,China,2012
71323-57T,160695-55,Information Technology,Software,Software Development Applications,"Application Software, Software Development Applications*","CloudTech & DevOps, SaaS, TMT","a/b testing, application development, application user retention, in-app revenue",Formerly VC-backed,Generating Revenue,Venture Capital,56786-14P,"BA (Bachelor of Arts), 2005, Business & Marketing",1,71323-57T,,18-Mar-2016,0.70,Actual,,,,,0.70,1st Round,,,,Early Stage VC,,,Venture Capital,0.70,,,,,,,,,Completed,Product In Beta Test,Venture Capital-Backed,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,US Dollars (USD),"Tel Aviv, Israel",Middle East,Middle East,Tel Aviv,,,Israel,2015
